time_period,measure,sex,obs_value,ingested_on,last_obs_value,change_obs_value
2021-11-01,full-time,all,9069.35059596,2023-10-01,9123.15768312,-53.807087159999355
2021-11-01,part-time,male,1333.36129687,2023-10-01,1346.50264278,-13.141345910000155
2021-10-01,part-time,female,2633.05589336,2023-10-01,2799.94670714,-166.89081377999992
2021-10-01,part-time,all,3899.99828773,2023-10-01,4133.30800401,-233.30971628000043
2021-10-01,full-time,female,3405.76360081,2023-10-01,3461.38269149,-55.61909068000023
2021-10-01,full-time,male,5529.64312105,2023-10-01,5607.96790447,-78.32478341999922
2021-10-01,full-time,all,8935.40672186,2023-10-01,9069.35059596,-133.94387410000127
2021-10-01,part-time,male,1266.94239437,2023-10-01,1333.36129687,-66.41890249999983
2021-09-01,part-time,female,2649.41659694,2023-10-01,2633.05589336,16.360703580000063
2021-09-01,part-time,all,3906.32046777,2023-10-01,3899.99828773,6.322180040000148
2021-09-01,full-time,female,3425.41380463,2023-10-01,3405.76360081,19.650203820000115
2021-09-01,full-time,male,5554.89370406,2023-10-01,5529.64312105,25.2505830099999
2021-09-01,full-time,all,8980.30750869,2023-10-01,8935.40672186,44.90078683000138
2021-09-01,part-time,male,1256.90387082,2023-10-01,1266.94239437,-10.038523550000036
2021-08-01,part-time,female,2753.75770964,2023-10-01,2649.41659694,104.34111269999994
2021-08-01,part-time,all,4060.62561216,2023-10-01,3906.32046777,154.3051443899999
2021-08-01,full-time,female,3391.00095326,2023-10-01,3425.41380463,-34.41285136999977
2021-08-01,full-time,male,5553.72710591,2023-10-01,5554.89370406,-1.166598150000027
2021-08-01,full-time,all,8944.72805916,2023-10-01,8980.30750869,-35.57944953000151
2021-08-01,part-time,male,1306.86790252,2023-10-01,1256.90387082,49.96403169999985
2021-07-01,part-time,female,2807.21855989,2023-10-01,2753.75770964,53.46085025000002
2021-07-01,part-time,all,4144.48317587,2023-10-01,4060.62561216,83.85756371000025
2021-07-01,full-time,female,3404.89779594,2023-10-01,3391.00095326,13.896842679999736
2021-07-01,full-time,male,5597.71844483,2023-10-01,5553.72710591,43.99133892000009
2021-07-01,full-time,all,9002.61624078,2023-10-01,8944.72805916,57.88818162000098
2021-07-01,part-time,male,1337.26461598,2023-10-01,1306.86790252,30.39671346
2021-06-01,part-time,female,2809.17702885,2023-10-01,2807.21855989,1.9584689600001184
2021-06-01,part-time,all,4143.49749535,2023-10-01,4144.48317587,-0.985680520000642
2021-06-01,full-time,female,3399.71068323,2023-10-01,3404.89779594,-5.1871127099998375
2021-06-01,full-time,male,5578.89292167,2023-10-01,5597.71844483,-18.825523160000557
2021-06-01,full-time,all,8978.6036049,2023-10-01,9002.61624078,-24.012635880000744
2021-06-01,part-time,male,1334.3204665,2023-10-01,1337.26461598,-2.944149479999851
2021-05-01,part-time,female,2809.73404201,2023-10-01,2809.17702885,0.5570131599997694
2021-05-01,part-time,all,4159.39421906,2023-10-01,4143.49749535,15.896723710000515
2021-05-01,full-time,female,3408.14089575,2023-10-01,3399.71068323,8.430212519999714
2021-05-01,full-time,male,5529.28466427,2023-10-01,5578.89292167,-49.608257400000184
2021-05-01,full-time,all,8937.42556002,2023-10-01,8978.6036049,-41.178044880000016
2021-05-01,part-time,male,1349.66017705,2023-10-01,1334.3204665,15.339710549999836
2021-04-01,part-time,female,2811.01344149,2023-10-01,2809.73404201,1.2793994799999382
2021-04-01,part-time,all,4151.74761505,2023-10-01,4159.39421906,-7.646604010000374
2021-04-01,full-time,female,3350.75517629,2023-10-01,3408.14089575,-57.38571946000002
2021-04-01,full-time,male,5509.02939653,2023-10-01,5529.28466427,-20.25526773999991
2021-04-01,full-time,all,8859.78457282,2023-10-01,8937.42556002,-77.64098719999856
2021-04-01,part-time,male,1340.73417355,2023-10-01,1349.66017705,-8.926003499999979
2021-03-01,part-time,female,2840.50914151,2023-10-01,2811.01344149,29.495700020000186
2021-03-01,part-time,all,4192.71076395,2023-10-01,4151.74761505,40.963148900000306
2021-03-01,full-time,female,3349.17440556,2023-10-01,3350.75517629,-1.5807707299995855
2021-03-01,full-time,male,5483.56935423,2023-10-01,5509.02939653,-25.46004230000017
2021-03-01,full-time,all,8832.74375979,2023-10-01,8859.78457282,-27.04081303000021
2021-03-01,part-time,male,1352.20162244,2023-10-01,1340.73417355,11.467448890000014
2021-02-01,part-time,female,2766.57524193,2023-10-01,2840.50914151,-73.93389957999989
2021-02-01,part-time,all,4102.78835861,2023-10-01,4192.71076395,-89.9224053400003
2021-02-01,full-time,female,3370.95501228,2023-10-01,3349.17440556,21.780606719999923
2021-02-01,full-time,male,5486.1820237,2023-10-01,5483.56935423,2.612669470000583
2021-02-01,full-time,all,8857.13703598,2023-10-01,8832.74375979,24.393276189999597
2021-02-01,part-time,male,1336.21311668,2023-10-01,1352.20162244,-15.988505759999953
2021-01-01,part-time,female,2763.41165964,2023-10-01,2766.57524193,-3.1635822900002495
2021-01-01,part-time,all,4102.71753401,2023-10-01,4102.78835861,-0.07082459999946877
2021-01-01,full-time,female,3315.03725605,2023-10-01,3370.95501228,-55.91775623000012
2021-01-01,full-time,male,5481.15718626,2023-10-01,5486.1820237,-5.024837439999828
2021-01-01,part-time,male,1339.30587437,2023-10-01,1336.21311668,3.0927576900000986
2021-01-01,full-time,all,8796.2620248,2023-09-01,8857.13703598,-60.87501118
2020-12-01,part-time,female,2792.23584095,2023-10-01,2763.41165964,28.824181309999858
2020-12-01,part-time,all,4124.05253676,2023-10-01,4102.71753401,21.335002750000058
2020-12-01,full-time,female,3286.72887118,2023-10-01,3315.03725605,-28.308384869999827
2020-12-01,full-time,male,5443.32058112,2023-10-01,5481.15718626,-37.836605140000756
2020-12-01,full-time,all,8730.0494523,2023-10-01,8796.2620248,-66.21257250000053
2020-12-01,part-time,male,1331.81669581,2023-10-01,1339.30587437,-7.489178560000028
2020-11-01,part-time,female,2778.62184815,2023-10-01,2792.23584095,-13.613992799999778
2020-11-01,part-time,all,4106.65150582,2023-10-01,4124.05253676,-17.401030940000055
2020-11-01,full-time,female,3252.92926252,2023-10-01,3286.72887118,-33.799608660000104
2020-11-01,full-time,male,5450.68473506,2023-10-01,5443.32058112,7.364153940000506
2020-11-01,full-time,all,8703.61399757,2023-10-01,8730.0494523,-26.435454729999037
2020-11-01,part-time,male,1328.02965767,2023-10-01,1331.81669581,-3.7870381400000497
2020-10-01,part-time,female,2787.03875658,2023-10-01,2778.62184815,8.416908430000149
2020-10-01,part-time,all,4105.32073382,2023-10-01,4106.65150582,-1.3307720000002519
2020-10-01,full-time,female,3210.29611749,2023-10-01,3252.92926252,-42.63314502999992
2020-10-01,full-time,male,5420.59540854,2023-10-01,5450.68473506,-30.089326520000213
2020-10-01,full-time,all,8630.89152603,2023-10-01,8703.61399757,-72.7224715400007
2020-10-01,part-time,male,1318.28197724,2023-10-01,1328.02965767,-9.747680429999946
2020-09-01,part-time,female,2738.41450664,2023-10-01,2787.03875658,-48.62424994000003
2020-09-01,part-time,all,4039.48915376,2023-10-01,4105.32073382,-65.83158005999985
2020-09-01,full-time,female,3211.75251441,2023-10-01,3210.29611749,1.456396919999861
2020-09-01,full-time,male,5334.09325144,2023-10-01,5420.59540854,-86.50215709999975
2020-09-01,full-time,all,8545.84576585,2023-10-01,8630.89152603,-85.0457601800008
2020-09-01,part-time,male,1301.07464712,2023-10-01,1318.28197724,-17.20733012000005
2020-08-01,part-time,female,2746.11708891,2023-10-01,2738.41450664,7.702582269999766
2020-08-01,part-time,all,4032.44331242,2023-10-01,4039.48915376,-7.045841340000152
2020-08-01,full-time,female,3209.74836261,2023-10-01,3211.75251441,-2.0041517999998177
2020-08-01,full-time,male,5370.99771471,2023-10-01,5334.09325144,36.904463269999724
2020-08-01,full-time,all,8580.74607732,2023-10-01,8545.84576585,34.900311470000815
2020-08-01,part-time,male,1286.3262235,2023-10-01,1301.07464712,-14.74842362000004
2020-07-01,part-time,female,2663.75473793,2023-10-01,2746.11708891,-82.36235097999997
2020-07-01,part-time,all,3918.15772525,2023-10-01,4032.44331242,-114.28558716999987
2020-07-01,full-time,female,3197.23799278,2023-10-01,3209.74836261,-12.5103698300004
2020-07-01,full-time,male,5350.22200819,2023-10-01,5370.99771471,-20.775706519999403
2020-07-01,full-time,all,8547.46000097,2023-10-01,8580.74607732,-33.28607634999935
2020-07-01,part-time,male,1254.40298732,2023-10-01,1286.3262235,-31.923236180000004
2020-06-01,part-time,female,2631.18820448,2023-10-01,2663.75473793,-32.56653344999995
2020-06-01,part-time,all,3848.98262258,2023-10-01,3918.15772525,-69.17510266999989
2020-06-01,full-time,female,3160.08957922,2023-10-01,3197.23799278,-37.14841355999988
